channels,baseline_ms,threaded_ms,process_ms,speedup_proc,proc_per_ch_ms
1,37.2,44.4,124.2,0.3,124.17
2,77.5,56.5,133.6,0.58,66.78
3,121.8,71.3,131.0,0.93,43.67
4,162.4,63.8,146.6,1.11,36.65
5,144.4,74.6,138.3,1.04,27.66
6,161.7,79.4,139.3,1.16,23.21
7,221.7,100.3,123.8,1.79,17.69
8,287.4,106.9,133.4,2.15,16.67
9,319.8,131.8,149.5,2.14,16.61
10,369.7,149.9,142.1,2.6,14.21
11,378.4,147.7,141.7,2.67,12.88
12,432.7,167.8,151.2,2.86,12.6
13,446.5,174.3,155.3,2.87,11.95
14,493.0,181.4,156.1,3.16,11.15
15,527.0,188.9,156.2,3.37,10.41
16,571.3,199.4,165.3,3.46,10.33
17,583.5,230.3,172.2,3.39,10.13
18,615.0,227.4,169.3,3.63,9.4
19,655.3,260.4,188.6,3.47,9.93
20,723.1,292.5,169.2,4.27,8.46
21,738.0,300.8,193.2,3.82,9.2
22,783.6,296.5,182.2,4.3,8.28
23,846.0,348.6,182.6,4.63,7.94
24,855.6,351.0,185.6,4.61,7.73
25,885.7,368.9,181.0,4.89,7.24
26,926.6,368.6,188.2,4.92,7.24
27,954.8,362.7,209.2,4.56,7.75
28,1007.1,420.4,214.5,4.7,7.66
29,1019.2,367.3,190.9,5.34,6.58
30,1040.7,389.9,203.4,5.12,6.78
31,1078.5,417.2,213.8,5.04,6.9
32,1097.0,436.2,211.9,5.18,6.62
33,1141.5,445.3,217.3,5.25,6.58
34,1225.5,526.3,231.4,5.3,6.8
35,1238.7,546.9,255.5,4.85,7.3
36,1216.9,565.2,236.7,5.14,6.57
37,1290.0,552.3,240.9,5.36,6.51
38,1386.7,576.1,244.6,5.67,6.44
39,1417.4,586.9,252.6,5.61,6.48
40,1434.3,606.5,262.9,5.46,6.57
41,1443.8,631.4,248.5,5.81,6.06
42,1492.6,650.4,255.4,5.84,6.08
43,1541.9,685.0,243.8,6.33,5.67
44,1557.2,736.6,238.8,6.52,5.43
45,1594.4,740.6,251.8,6.33,5.6
46,1687.4,692.8,251.0,6.72,5.46
47,1664.9,799.1,288.8,5.76,6.15
48,1732.8,803.0,278.2,6.23,5.8
49,1794.4,821.6,287.4,6.24,5.87
50,1808.0,799.1,273.6,6.61,5.47
51,1850.7,820.5,287.8,6.43,5.64
52,1939.3,874.1,337.4,5.75,6.49
53,1941.4,915.1,324.2,5.99,6.12
54,1958.0,821.9,303.2,6.46,5.62
55,2014.0,841.9,313.9,6.42,5.71
56,2007.0,920.7,315.5,6.36,5.63
57,2059.3,925.1,324.3,6.35,5.69
58,2110.0,964.0,330.0,6.39,5.69
59,2023.3,966.9,311.3,6.5,5.28
60,2190.5,1007.2,324.6,6.75,5.41
61,2160.3,990.3,330.2,6.54,5.41
62,2050.9,950.2,349.0,5.88,5.63
